x,y
310.66,80
315.66,80
320.66,80
325.66,80
330.66,80
310.59,88
315.59,88
320.59,88
325.59,88
330.59,88
310.51,96
315.51,96
320.51,96
325.51,96
330.51,96
310.44,104
315.44,104
320.44,104
325.44,104
330.44,104
310.36,112
315.36,112
320.36,112
325.36,112
330.36,112
310.29,120
315.29,120
320.29,120
325.29,120
330.29,120
310.21,128
315.21,128
320.21,128
325.21,128
330.21,128
310.13,136
315.13,136
320.13,136
325.13,136
330.13,136
310.06,144
315.06,144
320.06,144
325.06,144
330.06,144
309.98,152
314.98,152
319.98,152
324.98,152
329.98,152
309.91,160
314.91,160
319.91,160
324.91,160
329.91,160
309.83,168
314.83,168
319.83,168
324.83,168
329.83,168
309.76,176
314.76,176
319.76,176
324.76,176
329.76,176
309.68,184
314.68,184
319.68,184
324.68,184
329.68,184
309.61,192
314.61,192
319.61,192
324.61,192
329.61,192
309.53,200
314.53,200
319.53,200
324.53,200
329.53,200
309.46,208
314.46,208
319.46,208
324.46,208
329.46,208
309.38,216
314.38,216
319.38,216
324.38,216
329.38,216
309.3,224
314.3,224
319.3,224
324.3,224
329.3,224
309.23,232
314.23,232
319.23,232
324.23,232
329.23,232
309.15,240
314.15,240
319.15,240
324.15,240
329.15,240
309.08,248
314.08,248
319.08,248
324.08,248
329.08,248
309.0,256
314.0,256
319.0,256
324.0,256
329.0,256
308.93,264
313.93,264
318.93,264
323.93,264
328.93,264
308.85,272
313.85,272
318.85,272
323.85,272
328.85,272
308.78,280
313.78,280
318.78,280
323.78,280
328.78,280
308.7,288
313.7,288
318.7,288
323.7,288
328.7,288
308.63,296
313.63,296
318.63,296
323.63,296
328.63,296
308.55,304
313.55,304
318.55,304
323.55,304
328.55,304
308.48,312
313.48,312
318.48,312
323.48,312
328.48,312
308.4,320
313.4,320
318.4,320
323.4,320
328.4,320
308.32,328
313.32,328
318.32,328
323.32,328
328.32,328
308.25,336
313.25,336
318.25,336
323.25,336
328.25,336
308.17,344
313.17,344
318.17,344
323.17,344
328.17,344
308.1,352
313.1,352
318.1,352
323.1,352
328.1,352
308.02,360
313.02,360
318.02,360
323.02,360
328.02,360
307.95,368
312.95,368
317.95,368
322.95,368
327.95,368
307.87,376
312.87,376
317.87,376
322.87,376
327.87,376
307.8,384
312.8,384
317.8,384
322.8,384
327.8,384
307.72,392
312.72,392
317.72,392
322.72,392
327.72,392
307.65,400
312.65,400
317.65,400
322.65,400
327.65,400
307.57,408
312.57,408
317.57,408
322.57,408
327.57,408
307.5,416
312.5,416
317.5,416
322.5,416
327.5,416
307.42,424
312.42,424
317.42,424
322.42,424
327.42,424
307.34,432
312.34,432
317.34,432
322.34,432
327.34,432
307.27,440
312.27,440
317.27,440
322.27,440
327.27,440
307.19,448
312.19,448
317.19,448
322.19,448
327.19,448
307.12,456
312.12,456
317.12,456
322.12,456
327.12,456
307.04,464
312.04,464
317.04,464
322.04,464
327.04,464
306.97,472
311.97,472
316.97,472
321.97,472
326.97,472
306.89,480
311.89,480
316.89,480
321.89,480
326.89,480
306.82,488
311.82,488
316.82,488
321.82,488
326.82,488
306.74,496
311.74,496
316.74,496
321.74,496
326.74,496
306.67,504
311.67,504
316.67,504
321.67,504
326.67,504
306.59,512
311.59,512
316.59,512
321.59,512
326.59,512
306.51,520
311.51,520
316.51,520
321.51,520
326.51,520
306.44,528
311.44,528
316.44,528
321.44,528
326.44,528
306.36,536
311.36,536
316.36,536
321.36,536
326.36,536
306.29,544
311.29,544
316.29,544
321.29,544
326.29,544
306.21,552
311.21,552
316.21,552
321.21,552
326.21,552
306.14,560
311.14,560
316.14,560
321.14,560
326.14,560
